QualifiedApiName,Label,KeyPrefix,DurableId,NamespacePrefix,IsCustomizable,IsCustomSetting
ActvTgtPlatformFieldValueShare,有効化対象プラットフォーム項目値 共有,02c,ActvTgtPlatformFieldValueShare,,false,false
AdditionalNumber,追加ディレクトリ番号,04m,AdditionalNumber,,false,false
Address,住所,130,Address,,true,false
AddressHistory,住所履歴,017,AddressHistory,,false,false
AgentWork,エージェントの作業,0Bz,AgentWork,,true,false
AgentWorkChangeEvent,エージェントの作業 変更イベント,1CE,AgentWorkChangeEvent,,false,false
AgentWorkShare,エージェントの作業 共有,02c,AgentWorkShare,,false,false
AggregateResult,集計結果,,AggregateResult,,false,false
AIAgentStatusEvent,AI Agent Status Event,1Re,AIAgentStatusEvent,,false,false
AIApplication,AI アプリケーション,0Pp,AIApplication,,false,false
AIApplicationConfig,AI アプリケーション設定,6S9,AIApplicationConfig,,false,false
AIInsightAction,AIInsightActions,9qd,AIInsightAction,,false,false
AIInsightFeedback,AI インサイトフィードバック,9bq,AIInsightFeedback,,false,false
AIInsightReason,AI インサイト理由,0T2,AIInsightReason,,false,false
AIInsightValue,AI Insight Value,9qc,AIInsightValue,,false,false
AiJobRun,AI ジョブ実行,91b,AiJobRun,,false,false
AiJobRunItem,AI ジョブ実行項目,91c,AiJobRunItem,,false,false
AiJobRunItemShare,AI ジョブ実行項目 共有,02c,AiJobRunItemShare,,false,false
AiJobRunShare,AI ジョブ実行 共有,02c,AiJobRunShare,,false,false
AiJobRunStatusEvent,AI ジョブ実行状況イベント,91d,AiJobRunStatusEvent,,false,false
AiPluginUtteranceDef,生成 AI プラグイン発言定義,31N,AiPluginUtteranceDef,,false,false
AIPredictionEvent,AI 予測イベント,0ae,AIPredictionEvent,,false,false
AiPromptTemplateGenEvent,AI Prompt Template Generated Event,3pt,AiPromptTemplateGenEvent,,false,false
AIRecordInsight,AI レコードインサイト,9qb,AIRecordInsight,,false,false
AITrustAttribute,AI 信頼属性,9HO,AITrustAttribute,,false,false
AITrustAttrSetup,AI 信頼属性設定,8H2,AITrustAttrSetup,,false,false
AIWorksheetColProcEvent,AI ワークシート列処理イベント,1W8,AIWorksheetColProcEvent,,false,false
AlternativePaymentMethod,代替支払方法,8Z7,AlternativePaymentMethod,,true,false
AlternativePaymentMethodShare,代替支払方法 共有,02c,AlternativePaymentMethodShare,,false,false
AnalyticsAssetAction,Analytics Asset Action,2U9,AnalyticsAssetAction,,false,false
AnalyticsButtonWidgetDef,Analytics Button Widget Definition,1DB,AnalyticsButtonWidgetDef,,false,false
AnalyticsContainerWidgetDef,Analytics コンテナウィジェット定義,2aa,AnalyticsContainerWidgetDef,,false,false
AnalyticsDashboard,Analytics ダッシュボード,0Tr,AnalyticsDashboard,,false,false
AnalyticsDashboardLayout,Analytics Dashboard Layout,0Wn,AnalyticsDashboardLayout,,false,false
AnalyticsDashboardPage,Analytics Dashboard Page,0kh,AnalyticsDashboardPage,,false,false
AnalyticsDashboardViewDef,Analytics Dashboard Custom View,1OL,AnalyticsDashboardViewDef,,false,false
AnalyticsDashboardViewSpec,Analytics ダッシュボードカスタムビュー仕様,1OK,AnalyticsDashboardViewSpec,,false,false
AnalyticsDashboardWidget,Analytics Dashboard Widget,0Wd,AnalyticsDashboardWidget,,false,false
AnalyticsDashPageWidget,Analytics Dashboard Page Widget,0Wm,AnalyticsDashPageWidget,,false,false
AnalyticsFilterWidgetDef,Analytics Filter Widget Definition,1Ad,AnalyticsFilterWidgetDef,,false,false
AnalyticsMetricWidgetDef,Analytics Metric Widget Definition,1Fa,AnalyticsMetricWidgetDef,,false,false
AnalyticsParamWidgetDef,Analytics Parameter Widget Definition,1Fb,AnalyticsParamWidgetDef,,false,false
AnalyticsTaskStatusEvent,AnalyticsTaskStatusEvent,1JX,AnalyticsTaskStatusEvent,,false,false
AnalyticsTextWidgetDef,Analytics Text Widget Definition,1Ab,AnalyticsTextWidgetDef,,false,false
AnalyticsUserAttrFuncTkn,分析ユーザー属性関数トークン,1P3,AnalyticsUserAttrFuncTkn,,false,false
AnalyticsUserAttrFuncTknShare,分析ユーザー属性関数トークン 共有,02c,AnalyticsUserAttrFuncTknShare,,false,false
AnalyticsVisualization,Analytics Visualization,1AK,AnalyticsVisualization,,false,false
AnalyticsVizField,Analytics Visualization Field,1Hb,AnalyticsVizField,,false,false
AnalyticsVizViewDef,Analytics Visualization View Definition,1Ha,AnalyticsVizViewDef,,false,false
AnalyticsVizWidgetDef,Analytics Visualization Widget Definition,1AL,AnalyticsVizWidgetDef,,false,false
AnalyticsWorkspace,分析ワークスペース,1Dy,AnalyticsWorkspace,,false,false
AnalyticsWorkspaceAsset,分析ワークスペースアセット,1Dz,AnalyticsWorkspaceAsset,,false,false
Announcement,お知らせ,0Bt,Announcement,,false,false
ApexClass,Apex クラス,01p,ApexClass,,false,false
ApexComponent,Visualforce コンポーネント,099,ApexComponent,,false,false
ApexEmailNotification,Apex メール通知,06j,ApexEmailNotification,,false,false
ApexLog,Apex デバッグログ,07L,ApexLog,,false,false
ApexPage,Visualforce ページ,066,ApexPage,,false,false
ApexPageInfo,Apex ページ情報,4ve,ApexPageInfo,,false,false
ApexTestQueueItem,Apex テストキュー項目,709,ApexTestQueueItem,,false,false
ApexTestResult,アプリケーションテスト結果,07M,ApexTestResult,,false,false
ApexTestResultLimits,Apex テスト結果制限,05n,ApexTestResultLimits,,false,false
ApexTestRunResult,Apex テスト実行結果,05m,ApexTestRunResult,,false,false
ApexTestSuite,Apex テストスイート,05F,ApexTestSuite,,false,false
ApexTrigger,Apex トリガー,01q,ApexTrigger,,false,false
ApexTypeImplementor,Apex 型実装者,0kt,ApexTypeImplementor,,false,false
ApiAnomalyEvent,API 異常イベント,0j5,ApiAnomalyEvent,,false,false
ApiAnomalyEventStore,API 異常イベントストア,0j6,ApiAnomalyEventStore,,false,false
ApiAnomalyEventStoreFeed,API 異常イベントストアフィード,0D5,ApiAnomalyEventStoreFeed,,false,false
ApiEvent,API イベント,07t,ApiEvent,,false,false
ApiEventStream,API イベントストリーム,0QI,ApiEventStream,,false,false
ApiPrtcPolicyChangeEvent,API 保護ポリシーの変更イベント,1Z3,ApiPrtcPolicyChangeEvent,,false,false
AppAnalyticsQueryRequest,アプリケーション分析クエリ要求,0XI,AppAnalyticsQueryRequest,,false,false
AppDefinition,アプリケーション定義,06m,AppDefinition,,false,false
AppMenuItem,アプリケーションメニュー項目,0DS,AppMenuItem,,false,false
AppointmentAssignmentPolicy,予定の割り当てポリシー,0mT,AppointmentAssignmentPolicy,,false,false
AppointmentCategory,予定カテゴリ,11x,AppointmentCategory,,true,false
AppointmentCategoryFeed,__MISSING LABEL__ PropertyFile - val AppointmentCategory not found in section StandardFeedLabel,0D5,AppointmentCategoryFeed,,false,false
AppointmentCategoryHistory,予定カテゴリ履歴,017,AppointmentCategoryHistory,,false,false
AppointmentInvitation,予定招待,1S8,AppointmentInvitation,,true,false
AppointmentInvitationFeed,__MISSING LABEL__ PropertyFile - val AppointmentInvitation not found in section StandardFeedLabel,0D5,AppointmentInvitationFeed,,false,false
AppointmentInvitationHistory,予定招待の履歴,017,AppointmentInvitationHistory,,false,false
AppointmentInvitationShare,予定招待 共有,02c,AppointmentInvitationShare,,false,false
AppointmentInvitee,予定招待者,0y6,AppointmentInvitee,,true,false
AppointmentScheduleAggr,Appointment Schedule Aggregates,7yO,AppointmentScheduleAggr,,false,false
AppointmentScheduleLog,Appointment Schedule Logs,5mU,AppointmentScheduleLog,,false,false
AppointmentSchedulingPolicy,予定スケジュールポリシー,0Vr,AppointmentSchedulingPolicy,,false,false
AppointmentTopicTimeSlot,予定のトピック時間枠,0mS,AppointmentTopicTimeSlot,,true,false
AppointmentTopicTimeSlotFeed,__MISSING LABEL__ PropertyFile - val AppointmentTopicTimeSlot not found in section StandardFeedLabel,0D5,AppointmentTopicTimeSlotFeed,,false,false
AppointmentTopicTimeSlotHistory,予定のトピック時間枠履歴,017,AppointmentTopicTimeSlotHistory,,false,false
ApprovalSubmission,提出した承認申請,9iP,ApprovalSubmission,,true,false
ApprovalSubmissionDetail,提出した承認申請の詳細,1XE,ApprovalSubmissionDetail,,true,false
ApprovalSubmissionDetailFeed,__MISSING LABEL__ PropertyFile - val ApprovalSubmissionDetail not found in section StandardFeedLabel,0D5,ApprovalSubmissionDetailFeed,,false,false
ApprovalSubmissionDetailHistory,提出した承認申請の詳細履歴,017,ApprovalSubmissionDetailHistory,,false,false
ApprovalSubmissionFeed,__MISSING LABEL__ PropertyFile - val ApprovalSubmission not found in section StandardFeedLabel,0D5,ApprovalSubmissionFeed,,false,false
ApprovalSubmissionHistory,提出した承認申請履歴,017,ApprovalSubmissionHistory,,false,false
ApprovalSubmissionShare,提出した承認申請 共有,02c,ApprovalSubmissionShare,,false,false
ApprovalWorkItem,承認作業項目,9jR,ApprovalWorkItem,,true,false
ApprovalWorkItemFeed,__MISSING LABEL__ PropertyFile - val ApprovalWorkItem not found in section StandardFeedLabel,0D5,ApprovalWorkItemFeed,,false,false
ApprovalWorkItemHistory,承認作業項目履歴,017,ApprovalWorkItemHistory,,false,false
AppTabMember,アプリケーションタブメンバー,06o,AppTabMember,,false,false
AppUsageAssignment,アプリケーション利用割り当て,0j8,AppUsageAssignment,,false,false
AsgnRsrcApptSchdEvent,割り当て済みリソースの予定のスケジュールイベント,4OG,AsgnRsrcApptSchdEvent,,false,false
Asset,納入商品,02i,Asset,,true,false
AssetAction,納入商品アクション,4nL,AssetAction,,true,false
AssetActionSource,納入商品アクションソース,4nM,AssetActionSource,,true,false
AssetChangeEvent,納入商品 変更イベント,1CE,AssetChangeEvent,,false,false
AssetFeed,納入商品フィード,0D5,AssetFeed,,false,false
AssetHistory,納入商品履歴,017,AssetHistory,,false,false
AssetRelationship,納入商品リレーション,1AR,AssetRelationship,,true,false
AssetRelationshipChangeEvent,納入商品リレーション 変更イベント,1CE,AssetRelationshipChangeEvent,,false,false
AssetRelationshipFeed,納入商品リレーションフィード,0D5,AssetRelationshipFeed,,false,false
AssetRelationshipHistory,納入商品リレーション履歴,017,AssetRelationshipHistory,,false,false
AssetShare,納入商品共有,70a,AssetShare,,false,false
AssetStatePeriod,納入商品状態期間,4nK,AssetStatePeriod,,true,false
AssetTokenEvent,納入商品トークンイベント,0Li,AssetTokenEvent,,false,false
AssignedResource,割り当て済みリソース,03r,AssignedResource,,true,false
AssignedResourceChangeEvent,割り当て済みリソース 変更イベント,1CE,AssignedResourceChangeEvent,,false,false
AssignedResourceFeed,割り当て済みリソースフィード,0D5,AssignedResourceFeed,,false,false
AssignedResourceHistory,割り当て済みリソース履歴,017,AssignedResourceHistory,,false,false
AssignmentRule,割り当てルール,01Q,AssignmentRule,,false,false
AssociatedLocation,関連付けられたロケーション,0Kt,AssociatedLocation,,true,false
AssociatedLocationChangeEvent,関連付けられたロケーション 変更イベント,1CE,AssociatedLocationChangeEvent,,false,false
AssociatedLocationHistory,関連付けられたロケーション履歴,017,AssociatedLocationHistory,,false,false
AsyncApexJob,Apex ジョブ,707,AsyncApexJob,,false,false
AsyncOperationEvent,Async Operation Event,0Xw,AsyncOperationEvent,,false,false
AsyncOperationLog,非同期操作ログ,1ao,AsyncOperationLog,,false,false
AsyncOperationStatus,Async Operation Status,0YD,AsyncOperationStatus,,false,false
AttachedContentDocument,添付されたコンテンツドキュメント,,AttachedContentDocument,,false,false
AttachedContentNote,メモ,,AttachedContentNote,,false,false
Attachment,添付ファイル,00P,Attachment,,false,false
AuraDefinition,Lightning コンポーネント定義,0Ad,AuraDefinition,,false,false
AuraDefinitionBundle,Aura コンポーネントバンドル,0Ab,AuraDefinitionBundle,,false,false
AuraDefinitionBundleInfo,Aura 定義バンドル情報,0ab,AuraDefinitionBundleInfo,,false,false
AuraDefinitionInfo,Aura 定義情報,0ad,AuraDefinitionInfo,,false,false
AuthConfig,認証設定,07T,AuthConfig,,false,false
AuthConfigProviders,認証設定認証プロバイダー,07U,AuthConfigProviders,,false,false
AuthorizationForm,認証フォーム,0cI,AuthorizationForm,,true,false
AuthorizationFormChangeEvent,認証フォーム 変更イベント,1CE,AuthorizationFormChangeEvent,,false,false
AuthorizationFormConsent,認証フォーム同意,0cK,AuthorizationFormConsent,,true,false
AuthorizationFormConsentChangeEvent,認証フォーム同意 変更イベント,1CE,AuthorizationFormConsentChangeEvent,,false,false
AuthorizationFormConsentHistory,認証フォーム同意履歴,017,AuthorizationFormConsentHistory,,false,false
AuthorizationFormConsentShare,認証フォーム同意 共有,02c,AuthorizationFormConsentShare,,false,false
AuthorizationFormDataUse,認証フォームデータの使用,0cM,AuthorizationFormDataUse,,true,false
AuthorizationFormDataUseChangeEvent,認証フォームデータの使用 変更イベント,1CE,AuthorizationFormDataUseChangeEvent,,false,false
AuthorizationFormDataUseHistory,認証フォームデータの使用履歴,017,AuthorizationFormDataUseHistory,,false,false
AuthorizationFormDataUseShare,認証フォームデータの使用 共有,02c,AuthorizationFormDataUseShare,,false,false
AuthorizationFormHistory,認証フォーム履歴,017,AuthorizationFormHistory,,false,false
AuthorizationFormShare,認証フォーム 共有,02c,AuthorizationFormShare,,false,false
AuthorizationFormText,認証フォームテキスト,0cN,AuthorizationFormText,,true,false
AuthorizationFormTextChangeEvent,認証フォームテキスト 変更イベント,1CE,AuthorizationFormTextChangeEvent,,false,false
AuthorizationFormTextFeed,認証フォームテキストフィード,0D5,AuthorizationFormTextFeed,,false,false
AuthorizationFormTextHistory,認証フォームテキスト履歴,017,AuthorizationFormTextHistory,,false,false
AuthProvider,認証プロバイダー,0SO,AuthProvider,,false,false
AuthProvParamFwdAllowlist,認証プロバイダーパラメーター転送許可リスト,1Dg,AuthProvParamFwdAllowlist,,false,false
AuthSession,認証セッション,0Ak,AuthSession,,false,false
BackgroundOperation,バックグラウンド操作,08P,BackgroundOperation,,false,false
BatchApexErrorEvent,Apex エラープラットフォームイベントの一括処理,1QQ,BatchApexErrorEvent,,false,false
BotDefinition,ボット,0Xx,BotDefinition,,false,false
BotVersion,ボットバージョン,0X9,BotVersion,,false,false
BrandingSet,ブランドセット,0Lw,BrandingSet,,false,false
BrandingSetProperty,ブランドセットプロパティ,0Ly,BrandingSetProperty,,false,false
BrandTemplate,レターヘッド,016,BrandTemplate,,false,false
BriefcaseAssignment,ブリーフケースの割り当て,5LH,BriefcaseAssignment,,false,false
BriefcaseAssignmentChangeEvent,ブリーフケースの割り当て 変更イベント,1CE,BriefcaseAssignmentChangeEvent,,false,false
BriefcaseDefinition,ブリーフケース定義,1rY,BriefcaseDefinition,,false,false
BriefcaseDefinitionChangeEvent,ブリーフケース定義 変更イベント,1CE,BriefcaseDefinitionChangeEvent,,false,false
BriefcaseRule,ブリーフケースルール,1rX,BriefcaseRule,,false,false
BriefcaseRuleFilter,ブリーフケースルール検索条件,1rZ,BriefcaseRuleFilter,,false,false
BrowserPolicyViolation,ブラウザーポリシー違反,19y,BrowserPolicyViolation,,false,false
Budget__c,予算,a11,01IdL00000Bcl1B,,true,false
Budget__ChangeEvent,変更イベント: 予算,1CE,01IdL00000Bcl1B.ChangeEvent,,false,false
Budget__History,履歴: 予算,017,01IdL00000Bcl1B.History,,false,false
BudgetAndActuals__c,予算と実績,a10,01IdL00000Bckxx,,true,false
BudgetAndActuals__ChangeEvent,変更イベント: 予算と実績,1CE,01IdL00000Bckxx.ChangeEvent,,false,false
BudgetAndActuals__History,履歴: 予算と実績,017,01IdL00000Bckxx.History,,false,false
BudgetAndActuals__Share,共有: 予算と実績,02c,01IdL00000Bckxx.Share,,false,false
BudgetCategory__c,予算カテゴリ,a0z,01IdL00000BckwL,,true,false
BudgetCategory__ChangeEvent,変更イベント: 予算カテゴリ,1CE,01IdL00000BckwL.ChangeEvent,,false,false
BudgetCategory__History,履歴: 予算カテゴリ,017,01IdL00000BckwL.History,,false,false
BudgetCategory__Share,共有: 予算カテゴリ,02c,01IdL00000BckwL.Share,,false,false
BulkApiResultEvent,Bulk API 結果イベント,0hx,BulkApiResultEvent,,false,false
BulkApiResultEventStore,Bulk API 結果イベントストア,0hJ,BulkApiResultEventStore,,false,false
BusinessBrand,ビジネスブランド,1BU,BusinessBrand,,true,false
BusinessBrandChangeEvent,ビジネスブランド 変更イベント,1CE,BusinessBrandChangeEvent,,false,false
BusinessBrandShare,ビジネスブランド 共有,02c,BusinessBrandShare,,false,false
BusinessHours,営業時間,01m,BusinessHours,,false,false
BusinessProcess,ビジネスプロセス,019,BusinessProcess,,false,false
BuyerGroup,バイヤーグループ,0ZI,BuyerGroup,,true,false
BuyerGroupFeed,バイヤーグループフィード,0D5,BuyerGroupFeed,,false,false
BuyerGroupHistory,バイヤーグループ履歴,017,BuyerGroupHistory,,false,false
BuyerGroupShare,バイヤーグループ 共有,02c,BuyerGroupShare,,false,false
CalcInsightStatusEvent,計算済みインサイト状況イベント,1e3,CalcInsightStatusEvent,,false,false
Calendar,カレンダー,023,Calendar,,false,false
CalendarView,カレンダー,03A,CalendarView,,false,false
CalendarViewChangeEvent,カレンダー 変更イベント,1CE,CalendarViewChangeEvent,,false,false
CalendarViewShare,カレンダー 共有,02c,CalendarViewShare,,false,false
CallCenter,Call Center,04v,CallCenter,,false,false
CallCenterRoutingMap,コールセンタールーティングマップ,35A,CallCenterRoutingMap,,false,false
CallCoachingMediaProvider,CallCoachingMediaProvider,0hn,CallCoachingMediaProvider,,false,false
Campaign,キャンペーン,701,Campaign,,true,false
CampaignChangeEvent,キャンペーン 変更イベント,1CE,CampaignChangeEvent,,false,false
CampaignFeed,キャンペーンフィード,0D5,CampaignFeed,,false,false
CampaignHistory,キャンペーン項目履歴,017,CampaignHistory,,false,false
CampaignInfluence,キャンペーンインフルエンス,0KK,CampaignInfluence,,true,false
CampaignInfluenceModel,キャンペーンインフルエンスモデル,03V,CampaignInfluenceModel,,false,false
CampaignMember,キャンペーンメンバー,00v,CampaignMember,,true,false
CampaignMemberChangeEvent,キャンペーンメンバー 変更イベント,1CE,CampaignMemberChangeEvent,,false,false
CampaignMemberStatus,キャンペーンメンバーの状況,01Y,CampaignMemberStatus,,false,false
CampaignMemberStatusChangeEvent,キャンペーンメンバーの状況 変更イベント,1CE,CampaignMemberStatusChangeEvent,,false,false
CampaignShare,キャンペーンの共有,08s,CampaignShare,,false,false
CardPaymentMethod,カード決済方法,03O,CardPaymentMethod,,true,false
CartCheckoutSession,カートチェックアウトセッション,2z9,CartCheckoutSession,,false,false
CartDeliveryGroup,カート配送グループ,0a7,CartDeliveryGroup,,true,false
CartDeliveryGroupChangeEvent,カート配送グループ 変更イベント,1CE,CartDeliveryGroupChangeEvent,,false,false
CartDeliveryGroupMethod,カート配送グループ化方法,7cd,CartDeliveryGroupMethod,,true,false
CartItem,カート項目,0a9,CartItem,,true,false
CartItemChangeEvent,カート項目 変更イベント,1CE,CartItemChangeEvent,,false,false
CartItemPriceAdjustment,カート品目価格調整,0U1,CartItemPriceAdjustment,,true,false
CartItemPriceAdjustmentChangeEvent,カート品目価格調整 変更イベント,1CE,CartItemPriceAdjustmentChangeEvent,,false,false
CartRelatedItem,カート関連項目,0aA,CartRelatedItem,,false,false
CartRelatedItemChangeEvent,カート関連項目 変更イベント,1CE,CartRelatedItemChangeEvent,,false,false
CartTax,カートの税額,0gT,CartTax,,true,false
CartTaxChangeEvent,カートの税額 変更イベント,1CE,CartTaxChangeEvent,,false,false
CartValidationOutput,カートメッセージ,0dP,CartValidationOutput,,true,false
CartValidationOutputChangeEvent,カートメッセージ 変更イベント,1CE,CartValidationOutputChangeEvent,,false,false
Case,ケース,500,Case,,true,false
CaseChangeEvent,ケース 変更イベント,1CE,CaseChangeEvent,,false,false
CaseComment,ケースコメント,00a,CaseComment,,false,false
CaseContactRole,ケース 取引先責任者の役割,03j,CaseContactRole,,false,false
CaseFeed,ケースフィード,0D5,CaseFeed,,false,false
CaseHistory,ケース履歴,017,CaseHistory,,false,false
CaseHistory2,ケース履歴,02D,CaseHistory2,,false,false
CaseHistory2ChangeEvent,ケース履歴 変更イベント,1CE,CaseHistory2ChangeEvent,,false,false
CaseMilestone,ケースマイルストーン,555,CaseMilestone,,false,false
CaseRelatedIssue,ケース関連の問題,0oL,CaseRelatedIssue,,true,false
CaseShare,ケースの共有,01n,CaseShare,,false,false
CaseSolution,ケース ソリューション,010,CaseSolution,,false,false
CaseStatus,ケースの状況値,,CaseStatus,,false,false
CaseTeamMember,ケースチームのメンバー,0B6,CaseTeamMember,,false,false
CaseTeamRole,ケースチームメンバーロール,0B7,CaseTeamRole,,false,false
CaseTeamTemplate,定義済みケースチーム,0B4,CaseTeamTemplate,,false,false
CaseTeamTemplateMember,定義済みケースチームのメンバー,0B5,CaseTeamTemplateMember,,false,false
CaseTeamTemplateRecord,定義済みケースチームレコード,0B8,CaseTeamTemplateRecord,,false,false
CategoryData,カテゴリデータ,02o,CategoryData,,false,false
CategoryNode,カテゴリノード,02n,CategoryNode,,false,false
CategoryNodeLocalization,カテゴリノードのローカライズ,01j,CategoryNodeLocalization,,false,false
ChangeRequest,変更要求,0oW,ChangeRequest,,true,false
ChangeRequestFeed,変更要求フィード,0D5,ChangeRequestFeed,,false,false
ChangeRequestHistory,変更要求履歴,017,ChangeRequestHistory,,false,false
ChangeRequestRelatedIssue,変更要求関連の問題,0oK,ChangeRequestRelatedIssue,,true,false
ChangeRequestRelatedIssueFeed,変更要求関連の問題フィード,0D5,ChangeRequestRelatedIssueFeed,,false,false
ChangeRequestRelatedIssueHistory,変更要求関連の問題履歴,017,ChangeRequestRelatedIssueHistory,,false,false
ChangeRequestRelatedItem,変更要求関連項目,0tC,ChangeRequestRelatedItem,,true,false
ChangeRequestRelatedItemChangeEvent,変更要求関連項目 変更イベント,1CE,ChangeRequestRelatedItemChangeEvent,,false,false
ChangeRequestRelatedItemFeed,変更要求関連項目フィード,0D5,ChangeRequestRelatedItemFeed,,false,false
ChangeRequestRelatedItemHistory,変更要求関連項目履歴,017,ChangeRequestRelatedItemHistory,,false,false
ChangeRequestShare,変更要求 共有,02c,ChangeRequestShare,,false,false
ChatRetirementRdyMetrics,チャットの廃止準備状況メトリクス,8JY,ChatRetirementRdyMetrics,,false,false
ChatterActivity,Chatter 活動,0ca,ChatterActivity,,false,false
ChatterExtension,拡張,0MY,ChatterExtension,,false,false
ChatterExtensionConfig,Chatter 拡張設定,0Ob,ChatterExtensionConfig,,false,false
ChatterExtensionLocalization,翻訳,01j,ChatterExtensionLocalization,,false,false
ClientBrowser,クライアントブラウザー,713,ClientBrowser,,false,false
CollaborationGroup,グループ,0F9,CollaborationGroup,,false,false
CollaborationGroupFeed,グループフィード,0D5,CollaborationGroupFeed,,false,false
CollaborationGroupMember,グループメンバー,0FB,CollaborationGroupMember,,false,false
CollaborationGroupMemberRequest,グループメンバー要請,0I5,CollaborationGroupMemberRequest,,false,false
CollaborationGroupRecord,グループレコード,0Aa,CollaborationGroupRecord,,false,false
CollaborationGroupRecordChangeEvent,グループレコード 変更イベント,1CE,CollaborationGroupRecordChangeEvent,,false,false
CollaborationInvitation,Chatter 招待,0H1,CollaborationInvitation,,false,false
ColorDefinition,色定義,05k,ColorDefinition,,false,false
CombinedAttachment,メモ、添付ファイル、Google ドキュメントおよびファイル,,CombinedAttachment,,false,false
CommSubscription,コミュニケーション登録,0Xl,CommSubscription,,true,false
CommSubscriptionChangeEvent,コミュニケーション登録 変更イベント,1CE,CommSubscriptionChangeEvent,,false,false
CommSubscriptionChannelType,コミュニケーション登録チャネル種別,0eB,CommSubscriptionChannelType,,true,false
CommSubscriptionChannelTypeChangeEvent,コミュニケーション登録チャネル種別 変更イベント,1CE,CommSubscriptionChannelTypeChangeEvent,,false,false
CommSubscriptionChannelTypeFeed,コミュニケーション登録チャネル種別フィード,0D5,CommSubscriptionChannelTypeFeed,,false,false
CommSubscriptionChannelTypeHistory,コミュニケーション登録チャネル種別の履歴,017,CommSubscriptionChannelTypeHistory,,false,false
CommSubscriptionChannelTypeShare,コミュニケーション登録チャネル種別 共有,02c,CommSubscriptionChannelTypeShare,,false,false
